Test case , Test Step , Parameters , Page Name , Price Type , Expected Vlaue , Actual Vlaue, Status, OrderNumber, Comments
TC014,41.0,3 Decimal point, , , , , PASS,7064
TC016,48.0,4 Decimal point,ShoppingCart,total,'$186.5944,'$175.8820,FAIL,7066
TC016,48.0,4 Decimal point,OrderCheckOut,Shipping price,'$41.2564,'$32.5640,FAIL,7066
TC016,48.0,4 Decimal point,OrderCheckOut,Amount,'$186.5944,'$175.8820,FAIL,7066
TC016,48.0,4 Decimal point,OrderCheckOut,SubTotal,'$186.5944,'$175.8820,FAIL,7066
TC016,48.0,4 Decimal point,OrderCheckOut,PromotionDiscount,'-$5.3200,'-$2.3500,FAIL,7066
TC016,48.0,4 Decimal point,OrderCheckOut,TaxPercentage,'(3.2100%),'(3.1200%),FAIL,7066
TC016,48.0,4 Decimal point,OrderCheckOut,TaxAmount,'$5.8189,'$5.4142,FAIL,7066
TC016,48.0,4 Decimal point,OrderCheckOut,Total,'$187.0933,'$178.9462,FAIL,7066
TC016,48.0,4 Decimal point,OrderCheckout,AppliedPayment,'$187.0933,'$178.9462,FAIL,7066
TC016,48.0,4 Decimal point,Order Summary,Shipping price,'$41.2564,'$32.5640,FAIL,7066
TC016,48.0,4 Decimal point,Order Summary,Amount,'$186.5944,'$175.8820,FAIL,7066
TC016,48.0,4 Decimal point,Order Summary,SubTotal,'$186.5944,'$175.8820,FAIL,7066
TC016,48.0,4 Decimal point,Order Summary,PromotionDiscount,'- $5.3200,'- $2.3500,FAIL,7066
TC016,48.0,4 Decimal point,Order Summary,TaxPercentage,'(3.2100%),'(3.1200%),FAIL,7066
TC016,48.0,4 Decimal point,Order Summary,TaxValue,'$5.8189,'$5.4142,FAIL,7066
TC016,48.0,4 Decimal point,Order Summary,Shipping price,'$41.2564,'$32.5640,FAIL,7066
TC016,48.0,4 Decimal point,Order Summary,Total,'$187.0933,'$178.9462,FAIL,7066
TC016,48.0,4 Decimal point,Order Summary,AppliedDiscontPrice,'- $6.6941,'- $6.5976,FAIL,7066
TC016,48.0,4 Decimal point,OS Print Popup,PrintTotal,'$187.0933,'$178.9462,FAIL,7066
TC016,48.0,4 Decimal point,OS Print Popup,Amount,'$186.5944,'$175.8820,FAIL,7066
TC016,48.0,4 Decimal point,OS Print Popup,SubTotal,'$186.5944,'$175.8820,FAIL,7066
TC016,48.0,4 Decimal point,OS Print Popup,PromotionDiscount,'-$5.3200,'-$2.3500,FAIL,7066
TC016,48.0,4 Decimal point,OS Print Popup,PrintTaxValue,'$5.8189,'$5.4142,FAIL,7066
